"Country Name","Country Code","Year","Value"
"Brazil","BRA",1960,15165569912.5199
"Brazil","BRA",1961,15236854859.469
"Brazil","BRA",1962,19926293839.0163
"Brazil","BRA",1963,23021477292.2093
"Brazil","BRA",1964,21211892259.9904
"Brazil","BRA",1965,21790035117.19
"Brazil","BRA",1966,27062716577.9111
"Brazil","BRA",1967,30591834053.9653
"Brazil","BRA",1968,33875881876.3672
"Brazil","BRA",1969,37458898243.8609
"Brazil","BRA",1970,42327600098.2412
"Brazil","BRA",1971,49204456700.4516
"Brazil","BRA",1972,58539008786.3684
"Brazil","BRA",1973,79279057730.829
"Brazil","BRA",1974,105136007528.76
"Brazil","BRA",1975,123709376567.89
"Brazil","BRA",1976,152678020452.829
"Brazil","BRA",1977,176171284311.761
"Brazil","BRA",1978,200800891870.164
"Brazil","BRA",1979,224969488835.181
"Brazil","BRA",1980,235024598983.261
"Brazil","BRA",1981,263561088977.129
"Brazil","BRA",1982,281682304161.041
"Brazil","BRA",1983,203304515490.795
"Brazil","BRA",1984,209023912696.839
"Brazil","BRA",1985,222942790435.299
"Brazil","BRA",1986,268137224729.722
"Brazil","BRA",1987,294084112392.66
"Brazil","BRA",1988,330397381998.489
"Brazil","BRA",1989,425595310000
"Brazil","BRA",1990,461951782000
"Brazil","BRA",1991,602860000000
"Brazil","BRA",1992,400599250000
"Brazil","BRA",1993,437798577639.752
"Brazil","BRA",1994,558111997497.263
"Brazil","BRA",1995,785643456467.255
"Brazil","BRA",1996,850425828275.793
"Brazil","BRA",1997,883199443413.729
"Brazil","BRA",1998,863723395088.324
"Brazil","BRA",1999,599388879704.634
"Brazil","BRA",2000,655421153320.579
"Brazil","BRA",2001,559372502338.237
"Brazil","BRA",2002,507962741819.919
"Brazil","BRA",2003,558320116997.075
"Brazil","BRA",2004,669316239316.239
"Brazil","BRA",2005,891629970423.924
"Brazil","BRA",2006,1107640325472.35
"Brazil","BRA",2007,1397084381901.29
"Brazil","BRA",2008,1695824517395.57
"Brazil","BRA",2009,1667019605881.76
"Brazil","BRA",2010,2208871646202.82
"Brazil","BRA",2011,2616201578192.25
"Brazil","BRA",2012,2465188674415.03
"Brazil","BRA",2013,2472806919901.67
"Brazil","BRA",2014,2455993200170
"Brazil","BRA",2015,1803652649613.75
"Brazil","BRA",2016,1796186586414.45
