Matrícula,Prova1,Prova2
118023615,2.5,0.3
115155811,0,0
116023295,2.5,0
113201145,0.8,0
118032614,1.7,0
118035507,1.5,2
117044480,1.7,0
114141534,2.2,0
116137191,2.2,0.7
111219401,0,0
119055063,7.7,6.8
115163466,0,0
118035387,1.7,0
117211126,3.4,5
114027641,2.5,0
118103740,2.5,0
115022539,0,0
118026817,5,4
114055791,0,0
118051210,0,0
117227428,3.5,3.5
117153815,0,0
114075961,1.7,0
118095701,2.5,0
117034710,0,0
117047828,6.5,4.1
115044840,4.2,0
118032949,6.5,2
118037135,0,0
118043291,3,0.7
115069044,2.5,0
115200268,0,0
118063322,2.5,0.5
115182240,0,0
117208466,2.4,0
112196193,0,0
118165881,0,0
117154714,1,0
117089781,0,0.5
116028839,0,0
116034872,3.6,2.2
118046029,0,2.5
118107964,0,0
114164249,0,0
117154201,0,0
117039053,0,0
115177520,0,0
117154510,0,0
118037321,0,0
116193650,0,0
115062131,0,0
