sexo,idade,cor,MSAU051,escolaridade,formacao
Masculino,46,Preta,Sim,Ensino médio (2º Grau) completo,-
Masculino,37,Branca,Não,Especialização,Administração
Masculino,45,Parda,Sim,Ensino superior completo,Assistência social
Feminino,45,Branca,Sim,Especialização,Assistência social
Feminino,62,Branca,Sim,Ensino médio (2º Grau) completo,-
Masculino,47,Branca,Sim,Especialização,Assistência social
Feminino,52,Branca,Sim,Ensino médio (2º Grau) completo,-
Feminino,47,Parda,Sim,Ensino superior completo,Assistência social
Masculino,42,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,34,Preta,Não,Ensino superior completo,Jornalismo
Feminino,33,Parda,Sim,Especialização,Pedagogia
Masculino,58,Branca,Sim,Ensino médio (2º Grau) completo,-
Feminino,28,Branca,Sim,Especialização,Pedagogia
Masculino,53,Parda,Sim,Especialização,Assistência social
Feminino,40,Branca,Sim,Ensino superior incompleto,-
Masculino,44,Branca,Não,Ensino superior completo,Administração
Feminino,56,Branca,Não,Mestrado,Pedagogia
Masculino,51,Parda,Sim,Ensino médio (2º Grau) completo,-
Masculino,57,Preta,Sim,Ensino médio (2º Grau) completo,-
Masculino,68,Branca,Sim,Ensino superior completo,Medicina
Feminino,31,Parda,Sim,Ensino superior incompleto,-
Masculino,35,Amarela,Não,Mestrado,Medicina
Masculino,54,Branca,Sim,Ensino fundamental (1º Grau) completo,-
Masculino,34,Amarela,Sim,Especialização,Medicina
Masculino,55,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,60,Branca,Não,Especialização,Assistência social
Feminino,33,Parda,Sim,Ensino superior completo,Administração
Feminino,43,Parda,Não,Ensino superior incompleto,-
Masculino,0,Preta,Não,Ensino superior completo,Administração
Masculino,29,Branca,Sim,Ensino superior completo,Administração
Feminino,37,Parda,Sim,Ensino superior completo,Administração
Feminino,24,Parda,Sim,Ensino superior completo,Administração
Masculino,48,Branca,Sim,Ensino médio (2º Grau) completo,-
Masculino,31,Parda,Não,Ensino médio (2º Grau) completo,-
Masculino,49,Branca,Sim,Ensino fundamental (1º Grau) incompleto,-
Masculino,54,Branca,Sim,Ensino médio (2º Grau) completo,-
Masculino,60,Branca,Sim,Ensino superior incompleto,-
Feminino,30,Branca,Sim,Especialização,Administração
Masculino,57,Parda,Sim,Ensino superior completo,Jornalismo
Feminino,36,Branca,Sim,Ensino superior incompleto,-
Feminino,37,Branca,Não,Ensino superior incompleto,-
Masculino,30,Branca,Sim,Ensino superior completo,Jornalismo
Masculino,34,Branca,Não,Ensino médio (2º Grau) completo,-
Feminino,36,Parda,Sim,Ensino superior completo,Sociologia
Masculino,47,Branca,Sim,Ensino fundamental (1º Grau) completo,-
Feminino,52,Branca,Não,Ensino superior completo,Assistência social
Feminino,43,Parda,Sim,Ensino superior incompleto,-
Masculino,50,Preta,Sim,Ensino fundamental (1º Grau) completo,-
Feminino,34,Parda,Sim,Especialização,Pedagogia
Masculino,49,Parda,Sim,Ensino médio (2º Grau) completo,-
Masculino,34,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,35,Parda,Não,Ensino superior completo,Assistência social
Feminino,26,Parda,Sim,Especialização,Pedagogia
Masculino,41,Parda,Não,Ensino superior completo,Psicologia
Masculino,57,Branca,Sim,Ensino superior completo,Assistência social
Feminino,30,Branca,Sim,Especialização,Pedagogia
Feminino,53,Branca,Não,Especialização,Administração
Feminino,33,Branca,Não,Especialização,Pedagogia
Feminino,57,Preta,Sim,Especialização,Psicologia
